	IMDB	SST2	laptop	rest	movie	tweet	MNLI	QNLI	WNLI	snli	RTE	QQP	MRPC	
IMDB	1.00	0.05	0.05	0.07	0.07	0.06	0.08	0.07	0.02	0.06	0.05	0.07	0.03	
SST2	0.05	1.00	0.07	0.05	0.06	0.07	0.05	0.05	0.02	0.06	0.05	0.04	0.03	
laptop	0.05	0.07	1.00	0.18	0.14	0.06	0.01	0.03	0.05	0.02	0.24	0.02	0.10	
rest	0.07	0.05	0.18	1.00	0.12	0.06	0.03	0.04	0.03	0.04	0.19	0.04	0.07	
movie	0.07	0.06	0.14	0.12	1.00	0.06	0.03	0.03	0.05	0.04	0.22	0.03	0.08	
tweet	0.06	0.07	0.06	0.06	0.06	1.00	0.06	0.06	0.02	0.06	0.05	0.07	0.02	
MNLI	0.08	0.05	0.01	0.03	0.03	0.06	1.00	0.15	0.01	0.17	0.02	0.15	0.02	
QNLI	0.07	0.05	0.03	0.04	0.03	0.06	0.15	1.00	0.01	0.14	0.03	0.14	0.03	
WNLI	0.02	0.02	0.05	0.03	0.05	0.02	0.01	0.01	1.00	0.01	0.11	0.01	0.04	
snli	0.06	0.06	0.02	0.04	0.04	0.06	0.17	0.14	0.01	1.00	0.03	0.14	0.02	
RTE	0.05	0.05	0.24	0.19	0.22	0.05	0.02	0.03	0.11	0.03	1.00	0.03	0.15	
QQP	0.07	0.04	0.02	0.04	0.03	0.07	0.15	0.14	0.01	0.14	0.03	1.00	0.03	
MRPC	0.03	0.03	0.10	0.07	0.08	0.02	0.02	0.03	0.04	0.02	0.15	0.03	1.00	
