	IMDB	SST2	laptop	rest	movie	tweet	MNLI	QNLI	WNLI	snli	RTE	QQP	MRPC	
IMDB	0.00	21314.50	14947.42	15103.67	14946.85	23652.31	54675.18	42748.47	17437.22	49177.91	14702.11	48497.43	15783.42	
SST2	21314.50	0.00	16254.02	16566.93	16356.51	24382.01	55237.90	43291.35	18626.06	49435.75	16138.92	49183.00	17123.66	
laptop	14947.42	16254.02	0.00	5414.99	4964.30	19490.43	53470.83	40899.31	10217.23	47509.54	3684.87	47069.15	6965.64	
rest	15103.67	16566.93	5414.99	0.00	5752.74	19672.18	53503.04	40935.77	10661.05	47525.21	4716.76	47110.04	7595.64	
movie	14946.85	16356.51	4964.30	5752.74	0.00	19547.29	53452.29	40942.35	10304.50	47511.09	3952.05	47127.96	7179.33	
tweet	23652.31	24382.01	19490.43	19672.18	19547.29	0.00	56012.90	44348.05	21452.70	50537.80	19384.50	49904.66	20244.16	
MNLI	54675.18	55237.90	53470.83	53503.04	53452.29	56012.90	0.00	63888.11	54177.55	67432.98	53410.43	67661.43	53705.82	
QNLI	42748.47	43291.35	40899.31	40935.77	40942.35	44348.05	63888.11	0.00	41821.59	59816.80	40838.88	59421.91	41192.68	
WNLI	17437.22	18626.06	10217.23	10661.05	10304.50	21452.70	54177.55	41821.59	0.00	48285.72	9701.23	47951.52	11365.28	
snli	49177.91	49435.75	47509.54	47525.21	47511.09	50537.80	67432.98	59816.80	48285.72	0.00	47438.62	63492.43	47712.37	
RTE	14702.11	16138.92	3684.87	4716.76	3952.05	19384.50	53410.43	40838.88	9701.23	47438.62	0.00	47009.75	6308.60	
QQP	48497.43	49183.00	47069.15	47110.04	47127.96	49904.66	67661.43	59421.91	47951.52	63492.43	47009.75	0.00	47314.97	
MRPC	15783.42	17123.66	6965.64	7595.64	7179.33	20244.16	53705.82	41192.68	11365.28	47712.37	6308.60	47314.97	0.00	
